cep,count,state,region,country,lat,lon
66070210,1,Pará,RegiãoNorte,Brasil,-1.4536948,-48.4622365
68040520,1,Pará,Região Norte,Brasil,-2.4326339,-54.7224954
68010-060,2,Pará,Região Norte,Brasil,-2.4456545,-54.70581120000001
68911410,1,Amapá,Região Norte,Brasil,-0.0441008,-51.1062649
68903419,1,Amapá,Região Norte,Brasil,-0.005227600000000001,-51.0820424
68903230,1,Amapá,Região Norte,Brasil,-0.006240600000000001,-51.0890211
68800000,2,Pará,Região Norte,Brasil,-1.68036,-50.479085
68902347,2,Amapá,Região Norte,Brasil,0.0123355,-51.0638362
68903275,1,Amapá,Região Norte,Brasil,0.0401529,-51.0569588
Rua Ângelo  Fernandes  Breves ,1,Pará,Região Norte,Brasil,-1.6767421000000002,-50.47638679999999
68903-364,2,Amapá,Região Norte,Brasil,0.0401529,-51.0569588
68904590,1,Amapá,Região Norte,Brasil,0.0127928,-51.0819156
68928-334,1,Amapá,Região Norte,Brasil,-0.018627900000000003,-51.1792544
Rua Oliveira Belo,1,Rio de Janeiro,Região Sudeste,Brasil,-22.8440479,-43.3095352
Rua Conselheiro Lafaiete 32 - apt.901,1,NaN,NAN,NAN,NAN,NAN
66073040,1,Pará,Região Norte,Brasil,-1.4710713,-48.4588511
Passagem Jericó,1,Pará,Região Norte,Brasil,-1.3530379,-48.4353297
68908360,1,Amapá,Região Norte,Brasil,0.056713199999999984,-51.0546578
66040-255,1,Pará,Região Norte,Brasil,-1.4522209,-48.4828166
66040174,1,Pará,Região Norte,Brasil,-1.4547835,-48.4571782
66025190,2,Pará,Região Norte,Brasil,-1.4635454,-48.4954187
Avenida Generalíssimo Deodoro 2037,1,Pará,Região Norte,Brasil,-1.459071009375,-48.482591996875
68742866,2,Pará,Região Norte,Brasil,-1.2749338,-47.949220200000006
13084643,1,São Paulo,Região Sudeste,Brasil,-22.8192841,-47.0923717
68903199,1,Amapá,Região Norte,Brasil,0.0059009,-51.0740259
74865090,1,Goiás,Região Centro-Oeste,Brasil,-16.7143142,-49.2225331
68903-636,2,Amapá,Região Norte,Brasil,0.0401529,-51.0569588
68745-011,1,Pará,Região Norte,Brasil,-1.2927031,-47.9223903
66645870,1,Pará,Região Norte,Brasil,-1.3127448999999998,-48.4700445
Rua Professora Marlene dos Santos 404A,1,Amazonas,Região Norte,Brasil,-3.107683,-59.9660822
33411,1,Illas, Astúrias,Espanha,43.49511396444007,-5.968730130051786
65070-280,1,Maranhão,Região Nordeste,Brasil,-2.5634605,-44.2448718
66055080,5,Pará,Região Norte,Brasil,-1.4391143,-48.4805804
68742-564,1,Pará,Região Norte,Brasil,-1.2927031,-47.9223903
73020013,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.6563611,-47.8081092
81560-450,1,Paraná,Região Sul,Brasil,-25.4913187,-49.2128922
66033770,1,Pará,Região Norte,Brasil,-1.4577323999999998,-48.490301
68790000,3,Pará,Região Norte,Brasil,-1.2968556999999998,-48.1605533
68746350,1,Pará,Região Norte,Brasil,-1.3151117,-47.8943434
68744-220,3,Pará,Região Norte,Brasil,-1.2927031,-47.9223903
68725000,1,Pará,Região Norte,Brasil,-1.128244,-47.6199021
68795000,3,Pará,Região Norte,Brasil,-1.3555577,-48.252235
68745550,1,Pará,Região Norte,Brasil,-1.2927031,-47.9223903
66670220,1,Pará,Região Norte,Brasil,-1.3401954,-48.4386339
68725-000,2,Pará,Região Norte,Brasil,-1.128244,-47.6199021
70770535,3,Distrito Federal,Região Centro-Oeste,Brasil,-15.76503855,-47.89092635763228
72876120,2,Goiás,Região Centro-Oeste,Brasil,-16.0755822,-48.0120833
67120370,2,Pará,Região Norte,Brasil,-1.374035,-48.4016623
72583500,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.7899231,-47.888293
71699364,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.7934036,-47.8823172
66093050,2,Pará,Região Norte,Brasil,-1.4214969,-48.479185
67040560,1,Pará,Região Norte,Brasil,-1.3591651000000002,-48.3663145
66810-090,1,Pará,Região Norte,Brasil,-1.3000152,-48.479618
68746762,2,Pará,Região Norte,Brasil,-1.2719251,-47.9294202
66060-230,1,Pará,Região Norte,Brasil,-1.4482989,-48.46655850000001
68928178,4,Amapá,Região Norte,Brasil,-0.020584,-51.17148270000001
68926320,1,Amapá,Região Norte,Brasil,-0.0506998,-51.146406
68900-116,1,Amapá,Região Norte,Brasil,0.0306322,-51.0719432
68904650,1,Amapá,Região Norte,Brasil,0.0141004,-51.0807368
66833120,1,Pará,Região Norte,Brasil,-1.351482,-48.4643622
66035405,1,Pará,Região Norte,Brasil,-1.4546043,-48.4870086
